ID,大分類,中分類,分類名
1,自然・景勝地,山岳・高原,山
2,自然・景勝地,山岳・高原,火山
3,自然・景勝地,山岳・高原,高原
4,自然・景勝地,山岳・高原,湿原
5,自然・景勝地,山岳・高原,峠
6,自然・景勝地,水辺・水景,川
7,自然・景勝地,水辺・水景,湖沼
8,自然・景勝地,水辺・水景,池
9,自然・景勝地,水辺・水景,滝
10,自然・景勝地,水辺・水景,湧水
11,自然・景勝地,海・海岸,砂浜
12,自然・景勝地,海・海岸,海岸
13,自然・景勝地,海・海岸,岬
14,自然・景勝地,海・海岸,干潟
15,自然・景勝地,海・海岸,島
16,自然・景勝地,峡谷・渓谷,渓谷美
17,自然・景勝地,峡谷・渓谷,奇岩
18,自然・景勝地,地質・洞窟,鍾乳洞
19,自然・景勝地,地質・洞窟,風穴
20,自然・景勝地,地質・洞窟,ジオパーク
21,自然・景勝地,公園・庭園（自然）,国立・国定公園
22,自然・景勝地,公園・庭園（自然）,植物園
23,自然・景勝地,公園・庭園（自然）,自然公園
24,歴史・文化遺産,宗教施設,神社
25,歴史・文化遺産,宗教施設,寺院
26,歴史・文化遺産,宗教施設,教会
27,歴史・文化遺産,宗教施設,大仏・像
28,歴史・文化遺産,城郭・軍事,城
29,歴史・文化遺産,城郭・軍事,城跡
30,歴史・文化遺産,城郭・軍事,要塞
31,歴史・文化遺産,城郭・軍事,砲台跡
32,歴史・文化遺産,町並み・集落,宿場町
33,歴史・文化遺産,町並み・集落,武家屋敷
34,歴史・文化遺産,町並み・集落,門前町
35,歴史・文化遺産,町並み・集落,重要伝統的建造物群保存地区
36,歴史・文化遺産,遺跡・埋蔵文化財,古墳
37,歴史・文化遺産,遺跡・埋蔵文化財,貝塚
38,歴史・文化遺産,遺跡・埋蔵文化財,宮殿跡
39,歴史・文化遺産,遺跡・埋蔵文化財,史跡
40,歴史・文化遺産,伝統建築・記念碑,古民家
41,歴史・文化遺産,伝統建築・記念碑,異人館
42,歴史・文化遺産,伝統建築・記念碑,石碑
43,歴史・文化遺産,伝統建築・記念碑,歴史的建造物
44,歴史・文化遺産,世界遺産,文化遺産
45,歴史・文化遺産,世界遺産,自然遺産
46,レジャー・エンタメ,動物・植物,動物園
47,レジャー・エンタメ,動物・植物,水族館
48,レジャー・エンタメ,動物・植物,サファリパーク
49,レジャー・エンタメ,遊園地・テーマパーク,遊園地
50,レジャー・エンタメ,遊園地・テーマパーク,テーマパーク
51,レジャー・エンタメ,遊園地・テーマパーク,プール
52,レジャー・エンタメ,ミュージアム,博物館
53,レジャー・エンタメ,ミュージアム,美術館
54,レジャー・エンタメ,ミュージアム,科学館
55,レジャー・エンタメ,ミュージアム,記念館
56,レジャー・エンタメ,ミュージアム,資料館
57,レジャー・エンタメ,温浴・リラクゼーション,温泉地
58,レジャー・エンタメ,温浴・リラクゼーション,日帰り温泉
59,レジャー・エンタメ,温浴・リラクゼーション,スーパー銭湯
60,レジャー・エンタメ,温浴・リラクゼーション,サウナ
61,レジャー・エンタメ,公園（都市型）,総合公園
62,レジャー・エンタメ,公園（都市型）,メモリアルパーク
63,レジャー・エンタメ,劇場・ホール,コンサートホール
64,レジャー・エンタメ,劇場・ホール,劇場
65,レジャー・エンタメ,劇場・ホール,演芸場
66,インフラ・土木,治水・利水,ダム
67,インフラ・土木,治水・利水,ダム湖
68,インフラ・土木,治水・利水,放水路
69,インフラ・土木,治水・利水,浄水場
